Edad,ingreso anual,Consumo mensual,Localidad,Deuda,Antigüedad de la deuda (meses)
25,"$ 300.000,00 ",545000,zona 4,"$ 43.600,00 ",7
24,"$ 1.450.000,00 ",575000,zona 1,"$ 46.000,00 ",8
23,"$ 350.000,00 ",207000,zona 1,"$ 16.560,00 ",9
26,"$ 1.500.000,00 ",303000,zona 2,"$ 24.240,00 ",2
24,"$ 400.000,00 ",399000,zona 3,"$ 31.920,00 ",3
29,"$ 1.550.000,00 ",495000,zona 4,"$ 39.600,00 ",1
43,"$ 450.000,00 ",591000,zona 5,$ -   ,0
48,"$ 1.600.000,00 ",687000,zona 2,"$ 54.960,00 ",1
60,"$ 500.000,00 ",783000,zona 3,"$ 62.640,00 ",2
50,"$ 1.650.000,00 ",879000,zona 2,"$ 70.320,00 ",3
51,"$ 550.000,00 ",975000,zona 4,"$ 78.000,00 ",4
52,"$ 1.700.000,00 ",1071000,zona 1,"$ 85.680,00 ",8
49,"$ 600.000,00 ",1167000,zona 1,"$ 93.360,00 ",15
48,"$ 1.150.000,00 ",1263000,zona 2,"$ 101.040,00 ",23
47,"$ 50.000,00 ",275000,zona 3,"$ 22.000,00 ",5
46,"$ 1.200.000,00 ",305000,zona 4,"$ 24.400,00 ",8
45,"$ 100.000,00 ",335000,zona 5,"$ 26.800,00 ",9
44,"$ 1.250.000,00 ",365000,zona 2,"$ 29.200,00 ",10
43,"$ 150.000,00 ",395000,zona 3,"$ 31.600,00 ",8
42,"$ 1.300.000,00 ",425000,zona 2,"$ 34.000,00 ",7
28,"$ 200.000,00 ",455000,zona 4,"$ 36.400,00 ",6
30,"$ 1.350.000,00 ",485000,zona 1,"$ 38.800,00 ",5
31,"$ 250.000,00 ",515000,zona 1,"$ 41.200,00 ",6
32,"$ 1.400.000,00 ",545000,zona 2,"$ 43.600,00 ",7
33,"$ 300.000,00 ",575000,zona 3,"$ 46.000,00 ",9
34,"$ 1.450.000,00 ",207000,zona 4,"$ 16.560,00 ",2
35,"$ 350.000,00 ",303000,zona 5,"$ 24.240,00 ",3
36,"$ 1.500.000,00 ",399000,zona 2,"$ 31.920,00 ",1
25,"$ 400.000,00 ",495000,zona 3,$ -   ,0
29,"$ 1.550.000,00 ",591000,zona 2,"$ 47.280,00 ",1
30,"$ 450.000,00 ",687000,zona 4,"$ 54.960,00 ",2
35,"$ 1.600.000,00 ",783000,zona 1,"$ 62.640,00 ",3
40,"$ 500.000,00 ",879000,zona 1,"$ 70.320,00 ",4
42,"$ 1.650.000,00 ",975000,zona 2,"$ 78.000,00 ",8
42,"$ 550.000,00 ",1071000,zona 3,"$ 85.680,00 ",15
41,"$ 1.700.000,00 ",1167000,zona 4,$ -   ,0
30,"$ 600.000,00 ",1263000,zona 5,"$ 101.040,00 ",5
25,"$ 1.250.000,00 ",275000,zona 2,"$ 22.000,00 ",8
24,"$ 1.200.000,00 ",305000,zona 3,"$ 24.400,00 ",9
23,"$ 1.150.000,00 ",335000,zona 2,"$ 26.800,00 ",10
26,"$ 1.100.000,00 ",365000,zona 4,"$ 29.200,00 ",8
24,"$ 1.050.000,00 ",395000,zona 1,"$ 31.600,00 ",7
29,"$ 1.000.000,00 ",425000,zona 1,"$ 34.000,00 ",6
43,"$ 950.000,00 ",455000,zona 2,"$ 36.400,00 ",5
48,"$ 1.030.000,00 ",485000,zona 3,$ -   ,0
60,"$ 1.110.000,00 ",515000,zona 4,"$ 41.200,00 ",7
50,"$ 1.190.000,00 ",545000,zona 5,"$ 43.600,00 ",9
51,"$ 1.270.000,00 ",575000,zona 2,"$ 46.000,00 ",2
52,"$ 1.350.000,00 ",85000,zona 3,"$ 6.800,00 ",3
49,"$ 1.430.000,00 ",135000,zona 2,"$ 10.800,00 ",1
48,"$ 1.510.000,00 ",185000,zona 4,$ -   ,0
47,"$ 1.250.000,00 ",235000,zona 1,"$ 18.800,00 ",1
46,"$ 1.200.000,00 ",285000,zona 1,"$ 22.800,00 ",2
45,"$ 1.150.000,00 ",335000,zona 2,"$ 26.800,00 ",3
44,"$ 1.100.000,00 ",385000,zona 3,"$ 30.800,00 ",4
43,"$ 1.050.000,00 ",435000,zona 4,"$ 34.800,00 ",8
42,"$ 1.000.000,00 ",485000,zona 5,"$ 38.800,00 ",15
28,"$ 950.000,00 ",535000,zona 2,"$ 42.800,00 ",23
30,"$ 1.030.000,00 ",585000,zona 3,"$ 46.800,00 ",5
31,"$ 1.110.000,00 ",635000,zona 2,"$ 50.800,00 ",8
32,"$ 1.190.000,00 ",685000,zona 4,"$ 54.800,00 ",9
33,"$ 1.270.000,00 ",207000,zona 1,"$ 16.560,00 ",10
34,"$ 1.350.000,00 ",303000,zona 1,"$ 24.240,00 ",8
35,"$ 1.430.000,00 ",399000,zona 2,"$ 31.920,00 ",7
36,"$ 1.510.000,00 ",495000,zona 3,"$ 39.600,00 ",6
25,"$ 950.000,00 ",591000,zona 4,"$ 47.280,00 ",5
29,"$ 1.030.000,00 ",687000,zona 5,"$ 54.960,00 ",6
30,"$ 1.110.000,00 ",783000,zona 2,"$ 62.640,00 ",7
35,"$ 1.190.000,00 ",879000,zona 3,"$ 70.320,00 ",9
40,"$ 1.270.000,00 ",975000,zona 2,"$ 78.000,00 ",2
42,"$ 1.350.000,00 ",1071000,zona 4,"$ 85.680,00 ",3
42,"$ 1.430.000,00 ",1167000,zona 1,"$ 93.360,00 ",1
41,"$ 1.510.000,00 ",1263000,zona 1,$ -   ,0
30,"$ 1.250.000,00 ",275000,zona 2,"$ 22.000,00 ",1
25,"$ 1.200.000,00 ",305000,zona 3,"$ 24.400,00 ",2
24,"$ 1.150.000,00 ",335000,zona 4,"$ 26.800,00 ",3
23,"$ 1.100.000,00 ",365000,zona 5,"$ 29.200,00 ",4
26,"$ 1.250.000,00 ",395000,zona 2,"$ 31.600,00 ",8
24,"$ 1.200.000,00 ",425000,zona 3,"$ 34.000,00 ",15
29,"$ 1.150.000,00 ",455000,zona 2,$ -   ,0
43,"$ 1.100.000,00 ",485000,zona 4,"$ 38.800,00 ",5
48,"$ 1.050.000,00 ",515000,zona 1,"$ 41.200,00 ",8
60,"$ 1.000.000,00 ",545000,zona 1,"$ 43.600,00 ",9
50,"$ 950.000,00 ",575000,zona 2,"$ 46.000,00 ",10
51,"$ 1.030.000,00 ",275000,zona 3,"$ 22.000,00 ",8
52,"$ 1.110.000,00 ",305000,zona 4,"$ 24.400,00 ",7
49,"$ 1.190.000,00 ",335000,zona 5,"$ 26.800,00 ",6
48,"$ 1.270.000,00 ",365000,zona 2,"$ 29.200,00 ",5
47,"$ 1.350.000,00 ",395000,zona 3,$ -   ,0
46,"$ 1.430.000,00 ",425000,zona 2,"$ 34.000,00 ",7
45,"$ 1.510.000,00 ",455000,zona 4,"$ 36.400,00 ",9
44,"$ 1.250.000,00 ",485000,zona 1,"$ 38.800,00 ",2
43,"$ 1.200.000,00 ",515000,zona 1,"$ 41.200,00 ",3
42,"$ 1.150.000,00 ",545000,zona 2,"$ 43.600,00 ",1
28,"$ 1.100.000,00 ",575000,zona 3,$ -   ,0
30,"$ 1.050.000,00 ",207000,zona 4,"$ 16.560,00 ",1
31,"$ 1.000.000,00 ",303000,zona 5,"$ 24.240,00 ",2
32,"$ 950.000,00 ",399000,zona 2,"$ 31.920,00 ",3
33,"$ 1.030.000,00 ",495000,zona 3,"$ 39.600,00 ",4
34,"$ 1.110.000,00 ",591000,zona 2,"$ 47.280,00 ",8
35,"$ 1.190.000,00 ",687000,zona 4,"$ 54.960,00 ",15
36,"$ 1.270.000,00 ",783000,zona 1,"$ 62.640,00 ",23
25,"$ 1.350.000,00 ",879000,zona 1,"$ 70.320,00 ",5
29,"$ 1.430.000,00 ",975000,zona 2,"$ 78.000,00 ",8
30,"$ 1.510.000,00 ",1071000,zona 3,"$ 85.680,00 ",9
35,"$ 950.000,00 ",1167000,zona 4,"$ 93.360,00 ",10
40,"$ 1.030.000,00 ",1263000,zona 5,"$ 101.040,00 ",8
42,"$ 1.110.000,00 ",275000,zona 2,"$ 22.000,00 ",7
42,"$ 1.190.000,00 ",305000,zona 3,"$ 24.400,00 ",6
41,"$ 1.270.000,00 ",335000,zona 2,"$ 26.800,00 ",5
30,"$ 1.350.000,00 ",365000,zona 4,"$ 29.200,00 ",6
25,"$ 1.430.000,00 ",395000,zona 1,"$ 31.600,00 ",7
24,"$ 1.510.000,00 ",425000,zona 1,"$ 34.000,00 ",9
23,"$ 1.250.000,00 ",455000,zona 2,"$ 36.400,00 ",2
26,"$ 1.200.000,00 ",485000,zona 3,"$ 38.800,00 ",3
24,"$ 1.150.000,00 ",515000,zona 4,"$ 41.200,00 ",1
29,"$ 1.100.000,00 ",545000,zona 5,$ -   ,0
43,"$ 1.250.000,00 ",575000,zona 2,"$ 46.000,00 ",1
48,"$ 1.200.000,00 ",395000,zona 3,"$ 31.600,00 ",2
60,"$ 1.150.000,00 ",425000,zona 2,"$ 34.000,00 ",3
50,"$ 1.100.000,00 ",455000,zona 4,"$ 36.400,00 ",4
51,"$ 1.050.000,00 ",485000,zona 1,"$ 38.800,00 ",8
52,"$ 1.000.000,00 ",515000,zona 1,"$ 41.200,00 ",15
49,"$ 950.000,00 ",545000,zona 2,$ -   ,0
48,"$ 1.030.000,00 ",575000,zona 3,"$ 46.000,00 ",5
47,"$ 1.110.000,00 ",185000,zona 4,"$ 14.800,00 ",8
46,"$ 1.190.000,00 ",235000,zona 5,"$ 18.800,00 ",9
45,"$ 1.270.000,00 ",285000,zona 2,"$ 22.800,00 ",10
44,"$ 1.350.000,00 ",35000,zona 3,"$ 2.800,00 ",8
43,"$ 1.430.000,00 ",85000,zona 2,"$ 6.800,00 ",7
42,"$ 1.510.000,00 ",135000,zona 4,"$ 10.800,00 ",6
28,"$ 1.250.000,00 ",185000,zona 1,"$ 14.800,00 ",5
30,"$ 1.200.000,00 ",235000,zona 1,$ -   ,0
31,"$ 1.150.000,00 ",285000,zona 2,"$ 22.800,00 ",7
32,"$ 1.100.000,00 ",335000,zona 3,"$ 26.800,00 ",9
33,"$ 1.050.000,00 ",385000,zona 4,"$ 30.800,00 ",2
34,"$ 1.000.000,00 ",435000,zona 5,"$ 34.800,00 ",3
35,"$ 950.000,00 ",485000,zona 2,"$ 38.800,00 ",1
36,"$ 1.030.000,00 ",535000,zona 3,$ -   ,0
25,"$ 1.110.000,00 ",585000,zona 2,"$ 46.800,00 ",1
29,"$ 1.190.000,00 ",635000,zona 4,"$ 50.800,00 ",2
30,"$ 1.270.000,00 ",685000,zona 1,"$ 54.800,00 ",3
35,"$ 1.350.000,00 ",735000,zona 1,"$ 58.800,00 ",4
40,"$ 1.430.000,00 ",785000,zona 2,"$ 62.800,00 ",8
42,"$ 1.510.000,00 ",835000,zona 3,"$ 66.800,00 ",15
42,"$ 950.000,00 ",885000,zona 4,"$ 70.800,00 ",23
41,"$ 1.030.000,00 ",935000,zona 5,"$ 74.800,00 ",5
30,"$ 1.110.000,00 ",985000,zona 2,"$ 78.800,00 ",8
25,"$ 1.190.000,00 ",303000,zona 3,"$ 24.240,00 ",9
24,"$ 1.270.000,00 ",399000,zona 2,"$ 31.920,00 ",10
23,"$ 1.350.000,00 ",495000,zona 4,"$ 39.600,00 ",8
26,"$ 1.430.000,00 ",591000,zona 1,"$ 47.280,00 ",7
24,"$ 1.510.000,00 ",687000,zona 1,"$ 54.960,00 ",6
29,"$ 1.250.000,00 ",783000,zona 2,"$ 62.640,00 ",5
43,"$ 1.200.000,00 ",879000,zona 3,"$ 70.320,00 ",6
48,"$ 1.150.000,00 ",975000,zona 4,"$ 78.000,00 ",7
60,"$ 1.100.000,00 ",1071000,zona 5,"$ 85.680,00 ",9
50,"$ 1.250.000,00 ",1167000,zona 2,"$ 93.360,00 ",2
51,"$ 1.200.000,00 ",1263000,zona 3,"$ 101.040,00 ",3
52,"$ 1.150.000,00 ",85000,zona 2,"$ 6.800,00 ",1
49,"$ 1.100.000,00 ",135000,zona 4,$ -   ,0
48,"$ 1.050.000,00 ",185000,zona 1,"$ 14.800,00 ",1
47,"$ 1.000.000,00 ",235000,zona 1,"$ 18.800,00 ",2
46,"$ 950.000,00 ",285000,zona 2,"$ 22.800,00 ",3
45,"$ 1.030.000,00 ",335000,zona 3,"$ 26.800,00 ",4
44,"$ 1.110.000,00 ",385000,zona 4,"$ 30.800,00 ",8
43,"$ 1.190.000,00 ",435000,zona 5,"$ 34.800,00 ",15
42,"$ 1.270.000,00 ",485000,zona 2,$ -   ,0
28,"$ 1.350.000,00 ",535000,zona 3,"$ 42.800,00 ",5
30,"$ 1.430.000,00 ",585000,zona 2,"$ 46.800,00 ",8
31,"$ 1.510.000,00 ",635000,zona 4,"$ 50.800,00 ",9
32,"$ 1.250.000,00 ",685000,zona 1,"$ 54.800,00 ",10
33,"$ 1.200.000,00 ",735000,zona 1,"$ 58.800,00 ",8
34,"$ 1.150.000,00 ",785000,zona 2,"$ 62.800,00 ",7
35,"$ 1.100.000,00 ",835000,zona 3,"$ 66.800,00 ",6
36,"$ 1.050.000,00 ",885000,zona 4,"$ 70.800,00 ",5
25,"$ 1.000.000,00 ",935000,zona 5,$ -   ,0
29,"$ 950.000,00 ",985000,zona 2,"$ 78.800,00 ",7
30,"$ 1.030.000,00 ",275000,zona 3,"$ 22.000,00 ",9
35,"$ 1.110.000,00 ",305000,zona 2,$ -   ,0
40,"$ 1.190.000,00 ",335000,zona 4,$ -   ,0
42,"$ 1.270.000,00 ",365000,zona 1,"$ 29.200,00 ",4
42,"$ 1.350.000,00 ",395000,zona 1,"$ 31.600,00 ",8
41,"$ 1.430.000,00 ",425000,zona 2,"$ 34.000,00 ",7
30,"$ 1.510.000,00 ",455000,zona 3,"$ 36.400,00 ",9
25,"$ 950.000,00 ",485000,zona 4,"$ 38.800,00 ",6
24,"$ 1.030.000,00 ",207000,zona 5,$ -   ,0
23,"$ 1.110.000,00 ",303000,zona 2,$ -   ,0
26,"$ 1.190.000,00 ",399000,zona 3,"$ 31.920,00 ",7
24,"$ 1.270.000,00 ",495000,zona 2,"$ 39.600,00 ",8
29,"$ 1.350.000,00 ",591000,zona 4,"$ 47.280,00 ",9
43,"$ 1.430.000,00 ",687000,zona 1,"$ 54.960,00 ",2
48,"$ 1.510.000,00 ",783000,zona 1,"$ 62.640,00 ",3
60,"$ 1.250.000,00 ",879000,zona 2,"$ 70.320,00 ",1
50,"$ 1.200.000,00 ",975000,zona 3,$ -   ,0
51,"$ 1.150.000,00 ",1071000,zona 4,"$ 85.680,00 ",1
52,"$ 1.100.000,00 ",1167000,zona 5,"$ 93.360,00 ",2
49,"$ 1.250.000,00 ",1263000,zona 2,"$ 101.040,00 ",3
48,"$ 1.200.000,00 ",275000,zona 3,"$ 22.000,00 ",4
47,"$ 1.150.000,00 ",305000,zona 2,"$ 24.400,00 ",8
46,"$ 1.100.000,00 ",335000,zona 4,"$ 26.800,00 ",15
45,"$ 1.050.000,00 ",365000,zona 1,"$ 29.200,00 ",23
44,"$ 1.000.000,00 ",395000,zona 1,"$ 31.600,00 ",5
43,"$ 950.000,00 ",425000,zona 2,"$ 34.000,00 ",8
42,"$ 1.030.000,00 ",455000,zona 3,"$ 36.400,00 ",9
28,"$ 1.110.000,00 ",485000,zona 4,"$ 38.800,00 ",10
30,"$ 1.190.000,00 ",515000,zona 5,"$ 41.200,00 ",8
31,"$ 1.270.000,00 ",545000,zona 2,"$ 43.600,00 ",7
32,"$ 1.350.000,00 ",575000,zona 3,"$ 46.000,00 ",6
33,"$ 1.430.000,00 ",585000,zona 2,"$ 46.800,00 ",5
34,"$ 1.510.000,00 ",635000,zona 4,"$ 50.800,00 ",6
35,"$ 1.250.000,00 ",685000,zona 1,"$ 54.800,00 ",7
36,"$ 1.200.000,00 ",735000,zona 1,"$ 58.800,00 ",9
25,"$ 1.150.000,00 ",785000,zona 2,"$ 62.800,00 ",2
29,"$ 1.100.000,00 ",835000,zona 3,"$ 66.800,00 ",3
30,"$ 1.050.000,00 ",885000,zona 4,"$ 70.800,00 ",1
35,"$ 1.000.000,00 ",935000,zona 5,$ -   ,0
40,"$ 950.000,00 ",985000,zona 2,"$ 78.800,00 ",1
42,"$ 1.030.000,00 ",35000,zona 3,"$ 2.800,00 ",2
42,"$ 1.110.000,00 ",85000,zona 2,"$ 6.800,00 ",3
41,"$ 1.190.000,00 ",135000,zona 4,"$ 10.800,00 ",4
30,"$ 1.270.000,00 ",185000,zona 1,"$ 14.800,00 ",8
25,"$ 1.350.000,00 ",235000,zona 1,"$ 18.800,00 ",15
24,"$ 1.430.000,00 ",285000,zona 2,$ -   ,0
23,"$ 1.510.000,00 ",335000,zona 3,"$ 26.800,00 ",5
26,"$ 950.000,00 ",385000,zona 4,"$ 30.800,00 ",8
24,"$ 1.030.000,00 ",435000,zona 5,"$ 34.800,00 ",9
29,"$ 1.110.000,00 ",485000,zona 2,"$ 38.800,00 ",10
43,"$ 1.190.000,00 ",535000,zona 3,"$ 42.800,00 ",8
48,"$ 1.270.000,00 ",585000,zona 2,"$ 46.800,00 ",7
60,"$ 1.350.000,00 ",635000,zona 4,"$ 50.800,00 ",6
50,"$ 1.430.000,00 ",685000,zona 1,"$ 54.800,00 ",5
51,"$ 1.510.000,00 ",735000,zona 1,$ -   ,0
52,"$ 1.250.000,00 ",785000,zona 2,"$ 62.800,00 ",7
49,"$ 1.200.000,00 ",835000,zona 3,"$ 66.800,00 ",9
48,"$ 1.150.000,00 ",885000,zona 4,"$ 70.800,00 ",2
47,"$ 1.100.000,00 ",935000,zona 5,"$ 74.800,00 ",3
46,"$ 1.250.000,00 ",985000,zona 2,"$ 78.800,00 ",1
45,"$ 1.200.000,00 ",303000,zona 3,$ -   ,0
44,"$ 1.150.000,00 ",399000,zona 2,"$ 31.920,00 ",1
43,"$ 1.100.000,00 ",495000,zona 4,"$ 39.600,00 ",2
42,"$ 1.050.000,00 ",591000,zona 1,"$ 47.280,00 ",3
28,"$ 1.000.000,00 ",687000,zona 1,"$ 54.960,00 ",4
30,"$ 950.000,00 ",783000,zona 2,"$ 62.640,00 ",8
31,"$ 1.030.000,00 ",879000,zona 3,"$ 70.320,00 ",15
32,"$ 1.110.000,00 ",975000,zona 4,"$ 78.000,00 ",23
33,"$ 1.190.000,00 ",1071000,zona 5,"$ 85.680,00 ",5
34,"$ 1.270.000,00 ",1167000,zona 2,"$ 93.360,00 ",8
35,"$ 1.350.000,00 ",1263000,zona 3,"$ 101.040,00 ",9
36,"$ 1.430.000,00 ",85000,zona 2,"$ 6.800,00 ",10
25,"$ 1.510.000,00 ",135000,zona 4,"$ 10.800,00 ",8
29,"$ 1.250.000,00 ",185000,zona 1,"$ 14.800,00 ",7
30,"$ 1.200.000,00 ",235000,zona 1,"$ 18.800,00 ",6
35,"$ 1.150.000,00 ",285000,zona 2,"$ 22.800,00 ",5
40,"$ 1.100.000,00 ",335000,zona 3,"$ 26.800,00 ",6
42,"$ 1.050.000,00 ",385000,zona 4,"$ 30.800,00 ",7
42,"$ 1.000.000,00 ",435000,zona 5,"$ 34.800,00 ",9
41,"$ 950.000,00 ",485000,zona 2,"$ 38.800,00 ",2
30,"$ 1.030.000,00 ",535000,zona 3,"$ 42.800,00 ",3
25,"$ 1.110.000,00 ",585000,zona 2,"$ 46.800,00 ",1
24,"$ 1.190.000,00 ",635000,zona 4,$ -   ,0
23,"$ 1.270.000,00 ",685000,zona 1,"$ 54.800,00 ",1
26,"$ 1.350.000,00 ",735000,zona 1,"$ 58.800,00 ",2
24,"$ 1.430.000,00 ",785000,zona 2,"$ 62.800,00 ",3
29,"$ 1.510.000,00 ",835000,zona 3,"$ 66.800,00 ",4
43,"$ 950.000,00 ",885000,zona 4,"$ 70.800,00 ",8
48,"$ 1.030.000,00 ",935000,zona 5,"$ 74.800,00 ",15
60,"$ 1.110.000,00 ",985000,zona 2,$ -   ,0
50,"$ 1.190.000,00 ",85000,zona 3,"$ 6.800,00 ",5
51,"$ 1.270.000,00 ",135000,zona 2,"$ 10.800,00 ",8
52,"$ 1.350.000,00 ",185000,zona 4,"$ 14.800,00 ",9
49,"$ 1.430.000,00 ",235000,zona 1,"$ 18.800,00 ",10
48,"$ 1.510.000,00 ",285000,zona 1,"$ 22.800,00 ",8
47,"$ 1.250.000,00 ",335000,zona 2,"$ 26.800,00 ",7
46,"$ 1.200.000,00 ",385000,zona 3,"$ 30.800,00 ",6
45,"$ 1.150.000,00 ",435000,zona 4,"$ 34.800,00 ",5
44,"$ 1.100.000,00 ",485000,zona 5,$ -   ,0
43,"$ 1.250.000,00 ",535000,zona 2,"$ 42.800,00 ",7
42,"$ 1.200.000,00 ",585000,zona 3,"$ 46.800,00 ",9
28,"$ 1.150.000,00 ",635000,zona 2,"$ 50.800,00 ",2
30,"$ 1.100.000,00 ",685000,zona 4,"$ 54.800,00 ",3
31,"$ 1.050.000,00 ",735000,zona 1,"$ 58.800,00 ",1
32,"$ 1.000.000,00 ",785000,zona 1,$ -   ,0
33,"$ 950.000,00 ",835000,zona 2,"$ 66.800,00 ",1
34,"$ 1.030.000,00 ",885000,zona 3,"$ 70.800,00 ",2
35,"$ 1.110.000,00 ",935000,zona 4,"$ 74.800,00 ",3
36,"$ 1.190.000,00 ",985000,zona 5,"$ 78.800,00 ",4
25,"$ 1.270.000,00 ",35000,zona 2,"$ 2.800,00 ",8
29,"$ 1.350.000,00 ",85000,zona 3,"$ 6.800,00 ",15
30,"$ 1.430.000,00 ",135000,zona 2,"$ 10.800,00 ",23
35,"$ 1.510.000,00 ",185000,zona 4,"$ 14.800,00 ",5
40,"$ 1.250.000,00 ",235000,zona 1,"$ 18.800,00 ",8
42,"$ 1.200.000,00 ",285000,zona 1,"$ 22.800,00 ",9
42,"$ 1.150.000,00 ",335000,zona 2,"$ 26.800,00 ",10
41,"$ 1.100.000,00 ",385000,zona 3,"$ 30.800,00 ",8
30,"$ 1.050.000,00 ",435000,zona 4,"$ 34.800,00 ",7
25,"$ 1.000.000,00 ",485000,zona 5,"$ 38.800,00 ",6
24,"$ 950.000,00 ",535000,zona 2,"$ 42.800,00 ",5
23,"$ 1.030.000,00 ",585000,zona 3,"$ 46.800,00 ",6
26,"$ 1.110.000,00 ",635000,zona 2,"$ 50.800,00 ",7
24,"$ 1.190.000,00 ",685000,zona 4,"$ 54.800,00 ",9
29,"$ 1.270.000,00 ",735000,zona 1,"$ 58.800,00 ",2
43,"$ 1.350.000,00 ",785000,zona 1,"$ 62.800,00 ",3
48,"$ 1.430.000,00 ",835000,zona 2,"$ 66.800,00 ",1
60,"$ 1.510.000,00 ",885000,zona 3,$ -   ,0
50,"$ 950.000,00 ",935000,zona 4,"$ 74.800,00 ",1
51,"$ 1.030.000,00 ",985000,zona 5,"$ 78.800,00 ",2
52,"$ 1.110.000,00 ",303000,zona 2,"$ 24.240,00 ",3
49,"$ 1.190.000,00 ",399000,zona 3,"$ 31.920,00 ",4
48,"$ 1.270.000,00 ",495000,zona 2,"$ 39.600,00 ",8
47,"$ 1.350.000,00 ",591000,zona 4,"$ 47.280,00 ",15
46,"$ 1.430.000,00 ",687000,zona 1,$ -   ,0
45,"$ 1.510.000,00 ",783000,zona 1,"$ 62.640,00 ",5
44,"$ 1.250.000,00 ",879000,zona 2,"$ 70.320,00 ",8
43,"$ 1.200.000,00 ",975000,zona 3,"$ 78.000,00 ",9
42,"$ 1.150.000,00 ",1071000,zona 4,"$ 85.680,00 ",10
28,"$ 1.100.000,00 ",1167000,zona 5,"$ 93.360,00 ",8
30,"$ 1.250.000,00 ",1263000,zona 2,"$ 101.040,00 ",7
31,"$ 1.200.000,00 ",85000,zona 3,"$ 6.800,00 ",6
32,"$ 1.150.000,00 ",135000,zona 2,"$ 10.800,00 ",5
33,"$ 1.100.000,00 ",185000,zona 4,$ -   ,0
34,"$ 1.050.000,00 ",235000,zona 1,"$ 18.800,00 ",7
35,"$ 1.000.000,00 ",285000,zona 1,"$ 22.800,00 ",9
36,"$ 950.000,00 ",335000,zona 2,"$ 26.800,00 ",2
25,"$ 1.030.000,00 ",385000,zona 3,"$ 30.800,00 ",3
29,"$ 1.110.000,00 ",435000,zona 4,"$ 34.800,00 ",1
30,"$ 1.190.000,00 ",485000,zona 5,$ -   ,0
35,"$ 1.270.000,00 ",535000,zona 2,"$ 42.800,00 ",1
40,"$ 1.350.000,00 ",585000,zona 3,"$ 46.800,00 ",2
42,"$ 1.430.000,00 ",635000,zona 2,"$ 50.800,00 ",3
42,"$ 1.510.000,00 ",685000,zona 4,"$ 54.800,00 ",4
41,"$ 1.250.000,00 ",735000,zona 1,"$ 58.800,00 ",8
30,"$ 1.200.000,00 ",785000,zona 1,"$ 62.800,00 ",15
25,"$ 1.150.000,00 ",835000,zona 2,"$ 66.800,00 ",23
24,"$ 1.100.000,00 ",885000,zona 3,"$ 70.800,00 ",5
23,"$ 1.050.000,00 ",935000,zona 4,"$ 74.800,00 ",8
26,"$ 1.000.000,00 ",985000,zona 5,"$ 78.800,00 ",9
24,"$ 950.000,00 ",85000,zona 2,"$ 6.800,00 ",10
29,"$ 1.030.000,00 ",135000,zona 3,"$ 10.800,00 ",8
43,"$ 1.110.000,00 ",185000,zona 2,"$ 14.800,00 ",7
48,"$ 1.190.000,00 ",235000,zona 4,"$ 18.800,00 ",6
60,"$ 1.270.000,00 ",285000,zona 1,"$ 22.800,00 ",5
50,"$ 1.350.000,00 ",335000,zona 1,"$ 26.800,00 ",6
51,"$ 1.430.000,00 ",385000,zona 2,"$ 30.800,00 ",7
52,"$ 1.510.000,00 ",435000,zona 3,"$ 34.800,00 ",9
49,"$ 950.000,00 ",485000,zona 4,"$ 38.800,00 ",2
48,"$ 1.030.000,00 ",535000,zona 5,"$ 42.800,00 ",3
47,"$ 1.110.000,00 ",585000,zona 2,"$ 46.800,00 ",1
46,"$ 1.190.000,00 ",635000,zona 3,$ -   ,0
45,"$ 1.270.000,00 ",685000,zona 2,"$ 54.800,00 ",1
44,"$ 1.350.000,00 ",735000,zona 4,"$ 58.800,00 ",2
43,"$ 1.430.000,00 ",785000,zona 1,"$ 62.800,00 ",3
42,"$ 1.510.000,00 ",835000,zona 1,"$ 66.800,00 ",4
28,"$ 1.250.000,00 ",885000,zona 2,"$ 70.800,00 ",8
30,"$ 1.200.000,00 ",935000,zona 3,"$ 74.800,00 ",15
31,"$ 1.150.000,00 ",985000,zona 4,$ -   ,0
32,"$ 1.100.000,00 ",35000,zona 5,"$ 2.800,00 ",5
33,"$ 1.150.000,00 ",85000,zona 2,"$ 6.800,00 ",8
34,"$ 50.000,00 ",135000,zona 3,"$ 10.800,00 ",9
35,"$ 1.200.000,00 ",185000,zona 2,"$ 14.800,00 ",10
36,"$ 100.000,00 ",235000,zona 4,"$ 18.800,00 ",8
25,"$ 1.250.000,00 ",285000,zona 1,"$ 22.800,00 ",7
29,"$ 150.000,00 ",335000,zona 1,"$ 26.800,00 ",6
30,"$ 1.300.000,00 ",385000,zona 2,"$ 30.800,00 ",5
35,"$ 200.000,00 ",435000,zona 3,$ -   ,0
40,"$ 1.350.000,00 ",485000,zona 4,"$ 38.800,00 ",7
42,"$ 250.000,00 ",535000,zona 5,"$ 42.800,00 ",9
42,"$ 1.400.000,00 ",585000,zona 2,$ -   ,0
41,"$ 300.000,00 ",635000,zona 3,$ -   ,0
30,"$ 1.450.000,00 ",685000,zona 2,"$ 54.800,00 ",4
25,"$ 350.000,00 ",735000,zona 4,"$ 58.800,00 ",8
24,"$ 1.500.000,00 ",785000,zona 1,"$ 62.800,00 ",7
23,"$ 400.000,00 ",835000,zona 1,"$ 66.800,00 ",9
26,"$ 1.550.000,00 ",885000,zona 2,"$ 70.800,00 ",6
24,"$ 450.000,00 ",935000,zona 3,$ -   ,0
